Organization Name,Organization Name URL,Actively Hiring,Founded Date,Founded Date Precision,Number of Employees,Full Description,Industries,Headquarters Location,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Description,CB Rank (Company),Last Funding Date,Funding Status,Number of Funding Rounds,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD)
Pi Reality,https://www.crunchbase.com/organization/pi-reality,,2020-10-28,day,,"Imagine a place where you can do anything and everything. A world where you can meet friends, go on adventures, and live out all of your dreams. A virtual reality universe where you are truly free from any limitations. You can engage in fully interactive adventures, visit the zoo of the ancients, meet with friends, watch football in a stadium, participate in sports, games, and many more amazing things that are only limited by your imagination.",,,,,,The Possibilities Are Infinite,"450,900",,,,,,,
Metadiac,https://www.crunchbase.com/organization/metadiac,,2019-05-15,day,51-100,"We MetaDiac 60+ Blockchain Experts who build a complex in blockchain digital products for clients worldwide for looking to outsource our blockchain development experts. MetaDiac's Key expertise is delivering high-quality and performant blockchain applications on the web and mobile apps. Based on the needs of our clients, we can support them in end-to-end blockchain development. We provide blockchain app development for over 15 industries, NFT, healthcare, fintech, marketplace, food delivery, and more. Our customers value the high adaptability, responsiveness and performance we provide at every step. Therefore, it will be made based on your personal preference without complying with your product quality and industry guidelines. Why did you choose MetaDiac for your project? We work with any idea. We quickly accept and resolve any change at every moment. We have teams with unique skills. You bring a challenge - we offer your next-gen solution. Our Core Focus includes: Blockchain Software App development from scratch (iOS, Android, Web); Metaverse & NFT development Not only can you turn your app into the next market big company, but you can also ensure that the whole time you spend with our team is stress-free, engaging, and straightforward. We take note of your ideas and recommend the best ways to implement them. Tell us about your project with a free quick call! Reach us at :www.metadiac.com Email -sales@metadiac.com Telegram -@MetaDiac_Blockchain Skype - live:.cid.86bdcd0d7aa212b6",Software,,,,,MetaDiac is one of the top rated blockchain development company in india,"450,909",,,,,,,
INDEX GAME,https://www.crunchbase.com/organization/index-game,,2021-01-01,year,11-50,,"Blockchain, Gaming, Marketing","Tsuen Wan, New Territories, Hong Kong",,,,"INDEX GAME provides a metaverse agency that provides advertising, gaming experiences, and social experiences for land owners.","455,286",,,,,,,
SmarterWorx,https://www.crunchbase.com/organization/smarterworx,,2022-02-01,month,1-10,"SmarterWorx is pioneering the world’s first fractional art investment platform powered by blockchain technology.  Through the SmarterWorx platform, you will be able to access and invest in blue-chip artwork at any time from any place. We are building an investment platform without boundaries to support and empower artists, investors, and collectors alike. To introduce this forward-thinking cryptocurrency to the masses. We are creating a currency (ARTX) that can be used in marketplaces in both the real world and the metaverse. By backing ARTX with a growing real art portfolio that is continuously being added to by funds, we receive from the buy and sell taxes, NFT sales, and token burning, we believe we have created a currency that will stand the test of time.","Art, Blockchain, Cryptocurrency",,,,,SmarterWorx is pioneering the world’s first fractional art investment platform powered by blockchain technology.,"455,931",,,,,,,
Cool Points Club,https://www.crunchbase.com/organization/cool-points-club,,2020-01-01,year,1-10,"Cool point club work with impact partners across the globe to destroy carbon, These partners cover a range of emerging technologies that, at scale, can help us solve the climate crisis. By funding these, we help to kick-start the carbon removal market and get these projects operating at a critical mass.",Blockchain,"Auckland, Auckland, New Zealand",,,,cool point clubs provides a negative carbon rewards program meets the metaverse.,"456,779",,,,,,,
N3rdGames,https://www.crunchbase.com/organization/nerdgames,,2021-01-01,day,11-50,"N3RDGAMES aims to harness this revolutionary Web3 technology and create an entirely new experience for its users. Whether it’s the blockchain game arcade or an exciting metaverse, N3RDGAMES is truly bringing the Web 3 gaming dream to reality. N3RDGAMES offers games with reusable NFT As Service (NAS) with multi-chain and cross-platform capabilities. The primary goal of the platform is to encourage mainstream NFT As Service adoption. The team believes this can be done by strengthening the community and offering even more applications.","Blockchain, Gaming",,,,,"We are a visionnary team of metaverse builders, smart contract designers & web3 games creators","458,784",,,,,,,
Senrama Interactive,https://www.crunchbase.com/organization/senrama-interactive,,2022-11-07,day,1-10,"Metaverse Virtual Entertainment, Ai, Gaming & Interactive Transmedia","Artificial Intelligence, Content, Digital Entertainment, Information Technology, Media and Entertainment, Video Games",,,,,Metaverse Entertainment Studio,"459,136",,,,,,,
Olimp NFT Marketplace,https://www.crunchbase.com/organization/olimp-nft-marketplace,,2022-05-13,day,1-10,"OLIMP is a platform for buying and selling non-fungible tokens based on Solana. The site features a low transaction interest rate. Also, soon, it is planned to create the following platforms: Metaverse, Gaming platform, a constructor of non-fungible tokens, staking, and much more.","Information Services, Information Technology, Internet, Web Development",,,,,OLIMP is a Web 3.0 based NFT marketplace that offers all kinds of digital art and collectibles.,"461,645",,,,,,,
Aihuashen Technology,https://www.crunchbase.com/organization/aihuashen-technology,,2021-01-01,year,11-50,"Aihuashen Technology offers metaverse digital integrated marketing solutions. It offers businesses metaverse digital marketing, private domain metaverse, consumer metaverse, metaverse commercialization, and other service solutions based on self-developed virtual reality technology and AI intelligent technology. Their metaverse services are virtual content, metaverse games, virtual scenes, virtual persons, virtually live, virtual events, and nft digital assets.","Advertising, Augmented Reality, Digital Media","Haidian, Beijing, China",,,,Aihuashen Technology is a metaverse digital integrated marketing solution service provider.,"463,146",2022-04-25,Seed,1,Angel,,,
Yord Studio,https://www.crunchbase.com/organization/yord-studio,,2019-01-09,day,11-50,"Yord is a global-creative XR studio led by a World Class Design and Development team. We offer VR | AR | MR | Metaverse and specialize in the most complex interactive projects, build high-end immersive experiences and develop our products",,"Prague, Hlavni mesto Praha, Czech Republic",,,,Global Leading XR Studio,"475,315",,,,,,,
Apprendo,https://www.crunchbase.com/organization/apprendo-dd35,,2021-01-01,year,1-10,"Apprendo is a software and application development company specializing in game development and 3D design for the mobile app, web3, and 3D sectors. They also offer apps, the metaverse, gaming, and blockchain technology.","3D Technology, Blockchain, Gaming, Mobile Apps, Software","Rome, Lazio, Italy",,,,"Apprendo develops projects for the mobile app, web3, and 3D sectors.","475,606",,,,,,,
CyberDyme,https://www.crunchbase.com/organization/cyberdyme,,2020-01-01,year,,"CyberDyme builds commerce solutions for the next major computing platform, Virtual Reality (“The Metaverse”). Our mission is to build Tomorrow's Commerce Today. We call this VRcommerce. CyberDyme is the first company in the world to launch a live application that enables consumers to view, shop, and pay for physical goods while immersed in Virtual Reality . We believe that Better Connections = Better Conversions. In the same way the Internet with ecommerce transformed the customer buying journey, VR with VRcommerce will revolutionize it. CyberDyme’s VR-as-a-Service (VRaaS) platform is the Ultimate Sales Machine for brand storytellers. Benefits: increased revenue conversions & uplift, reduced operational expenses, and higher customer engagement. We focus our solutions on the Travel & Hospitality, Retail and Non-profits. Our customers include Marriott, Visa, USOC, Ambridge Hospitality, and Accenture. Learn more: info@cyberdyme.io","Consulting, E-Commerce, Fashion, Hospitality, Retail, Retail Technology, Travel, Virtual Reality","Los Angeles, California, United States",,,,CyberDyme builds commerce solutions for Virtual Reality: VRcommerce.,"491,670",,,,,,,
Mailverse,https://www.crunchbase.com/organization/mailverse,,2021-11-01,day,1-10,Email for the new era focused on the metaverse,"Augmented Reality, Marketing Automation, Virtual Reality","San Francisco, California, United States",,,,Email for the new era focused on the metaverse,"492,501",,,,,,,
NiFTipedia.com,https://www.crunchbase.com/organization/niftipedia-com,,2021-08-01,month,11-50,"NiFTipedia.com, the World's Largest NFT Platform; is designed firstly as an NFT Search Engine with immense capabilities. Its search engine, filters & index as many NFTs there is from almost all NFT marketplaces available online.  With NiFTipedia.com, NFT creators, buyers and lovers alike around the globe can search and find all the information about their NFTs in seconds. What's more, NFT creators and collectors can easily buy and sell, create, trade and leverage NFTs accross the entire NFT ecosystem.  NiFTipedia, also feed's its users with up-to-date news about the NFT Industry, Metaverse, DeFi, Cryptocurrencies etc.  In addition, NiFTipedia NFT enthusiasts are given the opportunity to share their views, promote, create and post contents on its platform about their project(s) and many more.",,,,,,NiFTipedia.com - The World's Largest NFT Platform...,"493,064",,,,,,,
Social Whispers,https://www.crunchbase.com/organization/social-whispers,,2019-05-19,day,11-50,"ocial Whispers is crypto & blockchain marketing agency. More than 100 companies have joined the platform, including high-tech brands and many other fascinating projects throughout the NFT Metaverse that rely on Social Whispers for their strategic planning. Social Whispers have unmatched experience in email marketing, Social media marketing, press releases, content marketing, Defi, PPC marketing, Blockchain Marketing services, Crypto Marketing services, etc.  With a focus on giving your brand the marketing strategies it deserves, Social Whispers is your one-stop destination for all of your marketing needs.","Digital Marketing, Marketing","New York, New York, United States",,,,The premier provider of crypto marketing services.,"493,433",,,,,,,
MetaVolf,https://www.crunchbase.com/organization/metavolf,,2022-04-29,day,51-100,,,"Mumbai, Maharashtra, India",,,,A virtual constructions company in the Metaverse.,"495,977",,,,,,,
Spiral Entertainment LTD,https://www.crunchbase.com/organization/spiral-entertainment-ltd,,2022-02-01,day,1-10,"Spiral Entertainment Ltd is an Irish company that offers blockchain games for the Arab world. As a Web3 business, it runs a decentralised gaming economy, where gamers are rewarded in the Falafel Coin cryptocurrency.  Being at the forefront of the GameFi industry, its immersive games blur the boundary between play and earning money, as digital assets are built into games, bringing liquidity to gaming in MENA countries.","Blockchain, Cryptocurrency, Gaming, Online Games, Video Games","Dublin, Dublin, Ireland",,,,"Blockchain Gaming, Metaverse and NFT project","501,431",,,,,,,
altzone,https://www.crunchbase.com/organization/altzone,,2022-04-01,month,1-10,Altzone is a permissionless 3D world that integrates with blockchain protocols to offer users a more fun & intuitive way to interact with them. Altzone's mission is to onboard next wave of blockchain users and make it easy for them to understand what's going on in blockchain universe.,Blockchain,,,,,Metaverse for the next wave of Blockchain users.,"501,675",,,,,,,
BVERSE - A Metaverse Consulting Firm,https://www.crunchbase.com/organization/bverse-a-metaverse-consulting-firm,,2022-01-01,day,11-50,"BVERSE is helping businesses onboard into Web 3.0, for platforms such as Decentraland. BVERSE includes the following services: user set-up (i.e., Metamask, Avatars, ENS, name registration), virtual land building services including design and SDK, creation of NFT wearables, community outreach and marketing, conferences and hosting events, metaverse tours, and metaverse development / virtual worlds & learning. BVERSE will provide access to trained metaverse professionals for all metaverse needs.",,,,,,"B-VERSE Consulting (BVERSE), founded in 2022, specializes in web3 metaverse consulting for businesses interested in entering the Metaverse.","502,727",,,,,,,
EGL Africa,https://www.crunchbase.com/organization/egl-africa,,2022-03-01,day,1-10,"We are an ICT company on a mission to build reliable and affordable ICT equipment and infrastructure for the advancement of Africa. We want to be the Google of Africa. Become the largest African ICT products supplier with thousands of stores, the most innovative hardware & software producer as well as a real-life problem solver that exists solely for Africans & by Africans. EGL African is improving and simplifying Africans' shopping experience of ICT products and services by using multichannel distribution channels and service networks.  We are Africa’s all-in-one hub for reliable ICT hardware & software products! We retail, wholesale, and create innovative ICT products and services that are perfectly in rhythm with the preferences of African consumers. Think of any ICT hardware product, think of any software product from simple web apps to the legendary web 3 and the metaverse; this is what we will personalize specifically for African taste. EGL Africa is an information technology company with a virtual and physical presence throughout Africa. It is created to solve Africa’s craving for perfect and reliable ICT hardware and software products. Carefully sorted to withstand all their work, school, and entertainment. Our goal is to provide top-notch reliable ICT products and services to meet Africa’s evolving need to keep connected with the information technology world with competence and efficiency. EGL Africa offers the retail, wholesale, and manufacturing of certain products and services in the ICT sector such as computers & laptops, computing software, tablets & mobile phones, professional repairs, web design & development, Web management, IT Training, installations, application development, content creation, and more. Our business is carefully strategized to fill the wide ICT hardware and software gaps as well as satisfy Africa.   The company aims at becoming the largest gadgets supplier in Africa by creating large gadgets chain stores as well as real-time virtual stores. What’s most important to us is making sure that Africans get the genuine quality & reliable gadgets that they deserve at pocket-friendly prices. Our longer-term goal is to launch the original indigenous EGL manufacturing brand, where we will create a technology completely rhythmic with African people, their average budget, and their lifestyle.","E-Commerce, Hardware, Information and Communications Technology (ICT), Information Technology, Retail, Software, Wholesale","Kano, Kano, Nigeria",,,,We are on a mission to build reliable and affordable ICT equipment & infrastructure and enhance access to ICT for the advancement of Africa,"503,539",,,,,,,
ACME LABS™,https://www.crunchbase.com/organization/acme-labs-dcea,,2022-01-01,year,1-10,"ACME LABS™ is a metaverse community built around visual storytelling that leverages emerging technologies, including blockchain, augmented and virtual reality, and real-time interactions.",Software,"San Diego, California, United States",,,,"Web3 marketplace, community platform","504,665",,,,,,,
Biobrx inc,https://www.crunchbase.com/organization/biobrx-inc,,2020-09-25,day,1-10,,"Software, Toys, Video Games",,,,,"Biobrx inc is a platform to create virtual worlds, creatures, avatars and games for the Metaverse.","506,582",,,,,,,
Mixxi,https://www.crunchbase.com/organization/mixxi,,2020-01-11,day,1-10,"The Mixxiverse is a metaverse where people can connect in magical worlds. The Mixxiverse offers a spatial video and audio feature that gives a sense of place without physical limitations as it creates opportunities for users to connect anywhere, anytime. The spaces feels natural with people wandering around the space and mingling between groups, and the vast integrations of games allow people to connect organically.","Apps, Digital Entertainment, Private Social Networking, Virtual Reality",,,,,Mixxi is a metaverse where people can interact in magical worlds.,"507,169",,,,,,,
WOLF (The World's Online Festival),https://www.crunchbase.com/organization/wolf-the-world-s-online-festival,,2020-02-01,day,51-100,"WOLF (The World’s Online Festival) is a British start-up brand which launched to the Arabic market in 2020, and has since attracted more than 3 million users. With a mission to bring festivals to the metaverse, putting users in complete control of the experience, WOLF offers a live interactive virtual world that provides a social life of exhilarating entertainment and community belonging. Encouraging users to become festival producers to create their own events, and incubating aspiring Arabic talents, WOLF is MENA's No1 audio performance platform. WOLF is available in Arabic on iOS, Android, Web Browser, and soon in VR on Oculus Quest.",Internet,,,,,"WOLF brings festivals to the metaverse, putting users in complete control of the experience.","507,993",,,,,,,
Sports Icon,https://www.crunchbase.com/organization/sports-icon,,2020-01-01,year,,,,"Milton Keynes, Milton Keynes, United Kingdom",,,,Metaverse and NFTs for sports celebrities,"516,324",2021-11-08,Seed,1,Seed,,,
NFT Labs,https://www.crunchbase.com/organization/nft-labs,,2021-06-02,day,11-50,A new internet is about to take over the world with the blockchain at its heart. Digital interaction is going to undergo a massive transformation. We aim to bring this technology to life by allowing non-crypto-native people to use it. We aim to improve adoption by providing a seamless user experience through our products & solutions.,"Blockchain, Information Technology","Singapore, Central Region, Singapore",,,,"Web3 company exploring big ideas in community, utility & engagement to push the NFT & metaverse space forward.","518,286",2021-10-18,Seed,1,Seed,,,
ROBOTOP,https://www.crunchbase.com/organization/robotop,,2022-05-05,day,1-10,,"Industrial Automation, Information Technology, Management Consulting, SaaS, Software","Nuremberg, Bayern, Germany",,,,ROBOTOP develops extended-reality SaaS applications to enable metaverse collaboration for industrial companies.,"519,162",,,,,,,
The Ur,https://www.crunchbase.com/organization/the-ur,,2021-11-09,day,1-10,"The Ur is an augmented reality metaverse that focuses on enhancing the physical world. The Ur was founded in 2021 and was headquartered in Michigan, USA.","Augmented Reality, Retail Technology, Software","Detroit, Michigan, United States",,,,The Ur is an augmented reality metaverse that focuses on enhancing the physical world.,"520,888",,,,,,,
NFT Metaverse Finance,https://www.crunchbase.com/organization/nft-metaverse-finance,,2022-01-01,year,1-10,"NFTMetaverseFinance.com is an NFT, Metaverse and Cryptocurrency news agency where you can discover news about NFTs, Metaverse projects, crypto coins, technical analysis, blockchain events and detailed reviews. None of the information you read on NFT Metaverse Finance should be regarded as investment advice.",,,,,,"NFT, Metaverse and Cryptocurrency financial news agency","527,426",,,,,,,
GreenpointXR,https://www.crunchbase.com/organization/greenpointxr,,2022-04-01,month,11-50,"Consulting Services in Augmented Reality, Virtual Reality, Robotics, Assisted Manufacturing and Drones for enterprise.","Augmented Reality, Drones, Robotics, Virtual Reality","Brooklyn, New York, United States",,,,"Metaverse, Augmented Reality Hardware, Software Consulting","530,373",,,,,,,
StellaPorta,https://www.crunchbase.com/organization/stellaporta,,2022-01-01,year,11-50,"StellaPorta is a multi-chain Metaverse creation platform that allows users to create metaspaces and infrastructure from scratch and interact with it using multi-sensory input/output mediums. StellaPorta gives users and creators 3D imaging and design tools, assets, and the infrastructure to give them the power to create, experience and monetise their digital and physical content, products, services and applications within the StellaPorta Metaverse or through the creation and hosting of their own Metaverse. StellaPorta will also give 3D creators more ways to monetize their creations by allowing the sale and trade of unique, Hyper-Rare 3D Meta-NFT’s, building limited-access (paid) metaspaces, and organising events within their metaspaces. Each unique asset will be available on the 3D StellaMarketplace, offering not only world creators but users early access to rare 3D Meta NFTs that can be placed or used within our own Universe or partner metaspaces, allowing true cross-world compatibility and asset utility.",Gaming,"Berlin, Berlin, Germany",,,,StellaPorta is a multi-chain Metaverse creation platform that allows users to create metaspaces and infrastructure from scratch.,"532,564",,,,,,,
MyMasterWar,https://www.crunchbase.com/organization/mymasterwar,,2020-01-01,year,,"MyMasterWar's platform provides a role-playing game where players can build, compete, earn, trade, and sell NFT assets where they can choose generals, build armies, devise strategies, and fight battles, enabling players to collect and trade NFT heroes and items on the marketplace.","Blockchain, Virtual Currency","London, England, United Kingdom",,,,MyMasterWar is a developer of a free blockchain-based metaverse gaming platform.,"534,519",,,,,,,
Metaseum,https://www.crunchbase.com/organization/metaseum,,2022-01-01,day,11-50,,,"Rotterdam, Zuid-Holland, The Netherlands",,,,"The metaverse of CULTURE - A digital space where you can visit all museums, monuments & galleries in one place.","539,337",2022-10-01,Seed,1,Seed,,,
Metaverse of Things,https://www.crunchbase.com/organization/metaverse-of-things,,2020-01-01,year,51-100,"Metaverse of Things is a female-dominated company. From the CEO to the office boy, all the staff are women. Our company sets an inspiring example for women in America and every corner of the world. We don't have any issues or jealousy towards men, we just try to become a source of inspiration for women worldwide and provide them a better place to live. Metaverse of Thing is the Gateway to Decentralized Marketing Metaverse of Things is a leading Metaverse Agency that specializes in architecting high-level solutions for projects in the Web3 space. Our solutions include metaverse and digital marketing, as well as metaverse business consultancy. With our exclusive partnerships and in-house staff, we have the resources and expertise to make even the most complex of projects a reality. The plan is simple: we fully understand your goals, take on the work, and improve the effectiveness of your online advertising so that you can see results in the first weeks. Our team always comes prepared with the research and understanding you are looking for from metaverse consultants.",Advertising,"New York, New York, United States",,,,Metaverse of Things is a full-service digital marketing agency looking to take your campaign to the next level.,"539,379",,,,,,,
Oasis Labs,https://www.crunchbase.com/organization/oasis-labs-956b,,2021-01-01,year,1-10,Oasis Labs is an internet publishing company that makes the metaverse come alive for all games.  It was founded in 2022.,"Internet, Online Games",,,,,Oasis Labs is an internet publishing company that makes the metaverse come alive for all games.,"542,591",,,,,,,
ALICEBuzz,https://www.crunchbase.com/organization/alicebuzz,,2022-01-01,day,,"ALICEBuzz is your one-stop source for My Neighbor Alice Game and Token, Play to Earn, Metaverse, and NFT news. Find the latest news from the front lines of cryptocurrency, DeFi and blockchain technology by crypto insiders avidly following the latest developments on the crypto market.","Blockchain, Cryptocurrency, Digital Media, Gaming, News","Los Angeles, California, United States",,,,"ALICEBuzz brings you the latest news on My Neighbor Alice game and token, gaming crypto, play-to-earn, metaverse, NFT and DeFi","544,310",,,,,,,
MetaXSeed,https://www.crunchbase.com/organization/metaxseed,,2021-01-01,year,11-50,,"Gaming, Online Games, Software","London, England, United Kingdom",,,,MetaXSeed is a decentralized game studio and marketplace that develops metaverse games.,"552,685",,,,,,,
Blockee,https://www.crunchbase.com/organization/blockee,,2021-12-22,day,1-10,"Blockee is an aggregator of NFT land from virtual worlds and web3 games. It is our mission to make virtual land available to everybody, especially to traditional real estate investors who want to get exposure to virtual real estate with their portfolios. Discovering and analyzing virtual real estate in generalized marketplaces can be difficult since they don’t have features that are common on traditional real estate platforms. That’s why Blockee brings many powerful features and tools that were so far limited to real-world real estate platforms to the metaverse, such as automated ML-based price estimates, map-based search, and many more. With these features, it’ll be easier for users to find what they want and make informed buying decisions.","Cryptocurrency, Information Technology, Marketplace, Real Estate, Software","Singapore, Central Region, Singapore",,,,NFT Marketplace for Virtual Real Estate in the Metaverse,"556,812",,,,,,,
Waivly,https://www.crunchbase.com/organization/waivly,,2021-01-01,year,,"The Future Wave. The Platform for Web3 Professionals and Enthusiasts. Waivly is a driven and ambitious digital media brand pushing the wave of the online space forward, creating content around Web3, NFTs, Crypto, tech, and other future-led spaces. Waivly runs a prestigious free daily newsletter which is enjoyed by thousands of people all across the internet throughout the week. The newsletter gives people enjoyable and fun-to-read content around everything they want to know and the areas that matter to them, like what’s happening around crypto and NFT’s, the evolution of the metaverse and Web3, the future of startups, business news, creators and movement makers making waves, the latest advancements in tech, what’s going on in the online world, and more, all blended together in digestible and to-the-point email content.","Consulting, Stock Exchanges, Trading Platform, Venture Capital",,,,,The Future Wave. The Platform For Web3 Professionals and Enthusiasts,"560,527",,,,,,,
Lazy Horse Race Club,https://www.crunchbase.com/organization/lazy-horse-race-club,,2022-01-01,year,1-10,"Lazy Horse Race Club is a metaverse horse racing world connected to a real life racing team through Club membership on the Cronos chain. Their Lazy Horse Ecosystem is composed of multiple parts that contribute to our overall vision and goals. In the Lazy Horse ecosystem, there are three main digital assets, HORSE - the Lazy Horse Founding Member NFT, PONY - the Lazy Horse Club Member NFT, and LHRC - the in-game token.These three assets are connected via the Lazy Horse Race Club - a play-to-earn gaming platform designed for Lazy Horse NFT owners. In game, the LHRC token is used to enter stakes races, speed up recovery and breeding times, and obtain upgrades.","Apps, Gaming, Media and Entertainment","Lyles, Tennessee, United States",,,,Lazy Horse Race Club is a game application for horse racing.,"562,446",,,,,,,
Zorive,https://www.crunchbase.com/organization/zorive-4f21,,2022-08-10,day,11-50,"Zorive develops and publishes games, blockchain games, Apps, Web3, and blockchain products. Zorive is developing a Web3 game called Mars in Metaverse. Its subsidiary startup Click Games developed different interesting games in simulation, racing, casual and hyper-casual genres then published by Zorive.  Dabbaro is also powered by Zorive which is an apps and SaaS company developing products for video editing, fitness coaching, and no code app development tool. Zorive Solutions is also powered by Zorive its servicing platform providing blockchain, games and app development, and AI services.","Apps, Blockchain, Gaming, Software, Video Games","Lahore, Punjab, Pakistan",,,,"We build and Publish Games, BlockchainGames, Apps, Web3 and Blockchain products.","564,702",,,,,,,
UBQFIT,https://www.crunchbase.com/organization/ubqfit,,2021-09-01,day,1-10,"Socialfi, gamefi, move AND earn fitness. An interactive hyper social, hyper gamified wellness and fitness marketplace.","Blockchain, Cryptocurrency, Fitness, Gamification, Health Care, Online Games, Social Network, Wellness","Boca Raton, Florida, United States",,,,Fitness meets cryptos/nfts + metaverse,"565,533",,,,,,,
ANIMA Blockchain,https://www.crunchbase.com/organization/anima-blockchain,,2022-01-01,year,1-10,"ANIMA is a web3 NFT platform built to offer a digitalization service that make certain business processes more efficient, to introduce the brands to the market of the future (WEB 3.0, Blockchain, Metaverse) and especially to increased protection and safeguards against counterfeiting.  The core business lies in the certification and authentication ofphysical products and it is based on the security and transparency of blockchain technology combined with the privacy of private records to offer an efficient hybrid solution. The entire platform is structured as a product management marketplace. Blockchain technology is used by ANIMA for the purposes of tracking, authentication of physical products and digital sales. Once the design products to be digitized have been selected with partners; ANIMA creates a token in blockchain by matching it with a digital certificate representing a physical asset. This certificate takes on the value of the digital identity of the product itself; it represents its guarantee, enhances its creative process, history and tracks its movements.  Thanks to the ANIMA platform, users will be able to store their digital products and derive all possible information from them. In fact, within the digital certificate will be countless data and information regarding the product to make the identity of the good even more specific.  By combining QR code functionality with blockchain functionality, ANIMA has come up with a new function: the ""Scan To Own""; every user who scans the QR code will redeem ownership of the digital product related to the physical product. Thanks to this kind of function, the steps the product takes will be certified with every movement. The technology that ANIMA has designed turns out to be highly scalable; in the near future we expect to be able to easily adapt and scale our innovative solution to any other type of business sector","Blockchain, Cryptocurrency","Milan, Lombardia, Italy",,,,"ANIMA is the world's first NFT platform where users can store, buy and redeem digital certificates representing physical object.","565,931",,,,,,,
OneArt,https://www.crunchbase.com/organization/oneart,,2021-09-01,day,11-50,"OneArt is a mobile app for Non-fungible tokens and metaverse products. OneArt was founded in 2021 and was headquartered in Lisbon, Portugal.","Blockchain, Software","Lisbon, Lisboa, Portugal",,,,OneArt is a mobile app for Non-fungible tokens and metaverse products.,"568,374",,,,,,,
CelsiusCow.com,https://www.crunchbase.com/organization/celsiuscow,,2021-09-16,day,1-10,"CelsiusCow.com is a crypto industry-centric news site covering the cryptosphere, Celsius Network, CeFi, DeFi, crypto loan platforms, Dapps, altcoins, NFTs, GameFi, metaverse, and blockchain technology - For the Intelligent Investor.","Cryptocurrency, Education, Information Services, Media and Entertainment","Houston, Texas, United States",,,,CelsiusCow.com digital crypto news site sourcing Celsius Network Updates (unofficial) & Crypto Industry News - For the Intelligent Investor.,"573,710",,,,,,,
Omnisphere DAO,https://www.crunchbase.com/organization/omnisphere-dao,,2021-02-01,month,,"Omnisphere DAO proposed to build a completely neutral decentralized network system. It is a neutral network with security, low energy consumption, fair and open. It makes it easy and fair for anyone to use network resources and protect their data sovereignty and privacy by building a three-tier network of omnigrid, omnichannel, and omniverse. Compared with complex algorithm-level solutions, their implementation logic is more comprehensive and efficient, covering the aspects of the application, network, storage, computing power, defi, blockchain, internet smart contract, and metaverse user interface, specific to the application layer.","Blockchain, Cryptocurrency, Data Integration, Internet of Things, Virtual Currency","Dubai, Dubai, United Arab Emirates",,,,"Omnisphere DAO enables application deployment on a peer-to-peer grid for computation, storage, and network in a decentralized way.","576,237",,,,,,,
Editrac,https://www.crunchbase.com/organization/editrac,,2021-01-01,day,11-50,"Editrac’s premise is that there should be one system for workflow and collaboration for video, 3d, audio and images across boundaries to ensure smooth structured flow of work, reviews and data. Such a system does not exist currently.",,"Bangalore, Karnataka, India",,,,"EDITRAC is a cross-border workflow and collaboration tool for the Metaverse (3D, video, audio & images)","577,841",,,,,,,
Bloklab Limited,https://www.crunchbase.com/organization/bloklab-limited,,2021-07-29,day,11-50,,"Augmented Reality, Blockchain, Cryptocurrency, Gaming, Virtual Reality","Helsinki, Southern Finland, Finland",,,,Bloklab Limited is a Finland-based game development and technology company that produces projects on Web3 and #lockchain technologies.,"578,978",,,,,,,
Hybrid NFT Smart Factory,https://www.crunchbase.com/organization/hybrid-nft-smart-factory,,2022-03-28,day,1-10,,"Blockchain, E-Commerce, Fashion, Information Technology","Dubai, Dubai, United Arab Emirates",,,,Platform for buying and selling officially licensed consumer products for brands and talent combining real-world and Metaverse.,"580,454",,,,,,,
Mana Play Ventures,https://www.crunchbase.com/organization/mana-play-ventures,,2020-11-01,month,1-10,"Mana Play Ventures is group of synergistic businesses designed to create and capture value at every stage of the value chain as brand marketers move into gaming and Web3. Subsidiaries include: Mana Consulting Pte Ltd, the leading consultancy in the APAC region for Web3.0 marketing strategy and solutions, helping brands, startups, and rights owners unlock new communities and opportunities through partnerships and programmes. Player Media Pte Ltd, a B2B marketplace platform enabling brands to engage consumers across the entire ecosystem of play; games, gaming media, esports, metaverse, creators & content. Mana Play Ventures also makes strategic investments in APAC based companies in the esports, blockchain gaming and fan engagement sectors.","Advertising, Advertising Platforms, Consulting, Venture Capital","Singapore, Central Region, Singapore",,,,"Venture Builder in the Web3, gaming and esports industry. Mana invests in startups, offers brand consulting services and builds MarTech","581,213",,,,,,,
Playground Metaverse Global Limited,https://www.crunchbase.com/organization/playground-metaverse-global-limited,,2021-04-01,month,11-50,,"Blockchain, Gaming",,,,,Metaverse/MMORPG Developer,"585,072",,,,,,,
KAKA Metaverse,https://www.crunchbase.com/organization/kaka-metaverse,,2021-01-01,year,1-10,"KAKA Metaverse is a play-to-earn gaming platform focusing on the metaverse blockchain gaming sector. It aims to create a prediction agreement perpendicular to the e-sports prediction market, and an open, transparent, decentralized, and complete project for the ecosystem. KAKA Metaverse combines the application of NFT+DEFI in the ecosystem, constructing a cross-chain bridge based on the concept of global decentralization, integrating various IPs of global brands, and creating Decentralized Autonomous Management (DAO).",Gaming,"Diamond Bar, California, United States",,,,KAKA Metaverse is a play-to-earn gaming platform focusing on the metaverse blockchain gaming sector.,"592,886",,,,,,,
